applicant_id,job_req_id,resume_highlights,jd_match_points
A1000,JR003,Generalist professional seeking opportunity to grow Good communicator and reliable team player,Old professional again child Event single president manager scientist middle
A1011,JR003,"Experienced software engineer with 8+ years in full-stack development Proficient in Python, JavaScript, and cloud infrastructure",Event single president manager scientist middle Left modern some way nature thousand large
A1037,JR003,Generalist professional seeking opportunity to grow Good communicator and reliable team player,Old professional again child Event single president manager scientist middle
A1055,JR003,Generalist professional seeking opportunity to grow Good communicator and reliable team player,Old professional again child Event single president manager scientist middle
A1071,JR003,Enterprise account executive with 10+ years of consultative sales experience Exceeded quota 7 years in a row and closed $5M+ in annual recurring revenue,Event single president manager scientist middle Left modern some way nature thousand large
A1074,JR003,Enterprise account executive with 10+ years of consultative sales experience Exceeded quota 7 years in a row and closed $5M+ in annual recurring revenue,Event single president manager scientist middle Left modern some way nature thousand large
A1091,JR003,Generalist professional seeking opportunity to grow Good communicator and reliable team player,Old professional again child Event single president manager scientist middle
A1095,JR003,Generalist professional seeking opportunity to grow Good communicator and reliable team player,Old professional again child Event single president manager scientist middle
A1102,JR003,Enterprise account executive with 10+ years of consultative sales experience Exceeded quota 7 years in a row and closed $5M+ in annual recurring revenue,Event single president manager scientist middle Left modern some way nature thousand large
A1107,JR003,"Product manager with deep experience in agile software development, customer discovery, and roadmap execution Launched 3 SaaS products with 10k+ users",Event single president manager scientist middle Left modern some way nature thousand large
A1166,JR003,"HR business partner with strong focus on talent development, DEI strategy, and workforce planning Successfully launched engagement programs across global orgs",Event single president manager scientist middle Left modern some way nature thousand large
A1190,JR003,Generalist professional seeking opportunity to grow Good communicator and reliable team player,Old professional again child Event single president manager scientist middle
A1001,JR019,Enterprise account executive with 10+ years of consultative sales experience Exceeded quota 7 years in a row and closed $5M+ in annual recurring revenue,Notice myself much method smile opportunity Seem whether behavior resource
A1007,JR019,Generalist professional seeking opportunity to grow Good communicator and reliable team player,Notice myself much method smile opportunity Seem whether behavior resource
A1008,JR019,"HR business partner with strong focus on talent development, DEI strategy, and workforce planning Successfully launched engagement programs across global orgs",Notice myself much method smile opportunity Seem whether behavior resource
A1058,JR019,Generalist professional seeking opportunity to grow Good communicator and reliable team player,Notice myself much method smile opportunity Seem whether behavior resource
A1087,JR019,Generalist professional seeking opportunity to grow Good communicator and reliable team player,Notice myself much method smile opportunity Seem whether behavior resource
A1093,JR019,Generalist professional seeking opportunity to grow Good communicator and reliable team player,Notice myself much method smile opportunity Seem whether behavior resource
A1096,JR019,"HR business partner with strong focus on talent development, DEI strategy, and workforce planning Successfully launched engagement programs across global orgs",Notice myself much method smile opportunity Seem whether behavior resource
A1161,JR019,Generalist professional seeking opportunity to grow Good communicator and reliable team player,Notice myself much method smile opportunity Seem whether behavior resource
A1178,JR019,Generalist professional seeking opportunity to grow Good communicator and reliable team player,Notice myself much method smile opportunity Seem whether behavior resource
A1191,JR019,"Experienced software engineer with 8+ years in full-stack development Proficient in Python, JavaScript, and cloud infrastructure",Notice myself much method smile opportunity Seem whether behavior resource
A1002,JR011,Good communicator and reliable team player Generalist professional seeking opportunity to grow,Media like land team feeling Cup time find despite bill travel
A1021,JR011,"Product manager with deep experience in agile software development, customer discovery, and roadmap execution Launched 3 SaaS products with 10k+ users",Cup time find despite bill travel Office weight kid
